Treatment;Neurite_length;Soma_diameter
control;21,211;21,587
control;128,004;34,358
control;17,066;17,918
control;24,446;14,993
control;45,662;20,762
control;51,844;22,035
control;79,683;31,376
control;59,908;19,379
control;32,216;28,012
control;43,906;24,509
control;205,332;23,878
control;70,56;25,143
control;70,984;23,305
control;48,599;20,762
control;53,729;28,563
control;74,975;20,918
control;37,959;23,061
control;28,707;20,116
control;12,307;19,379
control;17,404;18,071
control;126,785;26,933
control;105,042;18,511
control;56,207;24,924
control;49,48;22,035
control;81,838;28,146
control;31,847;16,639
control;19,903;26,167
control;47,751;40,749
control;37,466;22,026
control;32,203;21,713
control;35,418;20,031
control;16,226;21,994
control;27,755;18,475
control;51,12;48,225
control;43,101;18,595
control;18,669;16,268
control;28,092;20,909
control;91,865;16,257
control;32,709;24,61
control;105,256;42,633
control;49,749;21,649
control;57,63;28,79
control;39,22;23,521
control;25,904;22,242
control;44,825;26,692
control;25,911;20,778
control;13,343;19,38
control;79,052;28,238
control;32,457;31,963
control;35,326;17,796
control;10,757;22,79
control;18,888;20,579
control;38,635;16,847
control;19,45;36,093
control;21,72;13,343
control;20,15;16,632
control;22,722;19,104
control;16,394;19,928
control;32,266;18,025
control;29,905;29,069
control;58,799;20,446
control;46,785;15,816
control;10,746;30,105
control;43,902;25,007
control;14,17;14,158
control;103,482;30,892
control;92,904;32,024
control;30,691;26,549
control;19,98;20,621
control;29,554;18,768
control;60,802;12,891
control;11,183;32,911
control;49,466;23,068
control;59,63;26,211
control;19,902;27,085
control;71,53;16,264
control;29,968;32,386
control;51,632;15,902
control;39,429;20,588
control;29,985;
control;15,924;
control;5,522;
control;40,284;
control;8,278;
control;80,645;
control;13,716;
control;67,095;
control;16,557;
control;67,41;
control;42,575;
control;41,242;
control;20,688;
control;67,571;
control;8,153;
control;33,509;
control;7,61;
control;26,908;
control;83,836;
control;99,823;
control;39,498;
control;35,635;
control;14,663;
control;40,795;
control;25,692;
control;23,667;
control;67,288;
control;21,21;
control;74,464;
control;23,997;
control;79,78;
control;35,35;
control;16,067;
control;15,798;
control;8,639;
control;20,555;
control;9,439;
control;30,557;
control;25,502;
control;58,724;
control;50,318;
control;38,793;
control;43,341;
control;7,962;
control;14,097;
control;47,136;
control;91,97;
control;20,142;
control;66,105;
control;167,068;
control;27,437;
nutlin;20,295;17,832
nutlin;35,341;38,224
nutlin;59,954;35,592
nutlin;76,147;23,828
nutlin;29,813;28,195
nutlin;36,462;23,194
nutlin;28,635;17,286
nutlin;100,482;29,905
nutlin;39,259;22,519
nutlin;84,026;18,184
nutlin;70,332;34,616
nutlin;76,219;17,216
nutlin;40,509;25,783
nutlin;56,681;28,635
nutlin;69,602;29,163
nutlin;46,032;20,787
nutlin;48,905;14,35
nutlin;46,818;26,309
nutlin;34,67;11,305
nutlin;38,116;25,334
nutlin;18,814;32,455
nutlin;28,122;23,531
nutlin;22,252;17,697
